INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 4211002679
INFO: Loaded 1 modules   (1721143 inline 8-bit counters): 1721143 [0x5fedd15fc3e0, 0x5fedd17a0717), 
INFO: Loaded 1 PC tables (1721143 PCs): 1721143 [0x5fedd17a0718,0x5fedd31e3a88), 
INFO:     7276 files found in /home/defkit/noir/compiler/noirc_evaluator/fuzz/corpus/branching
INFO: -max_len is not provided; libFuzzer will not generate inputs larger than 4096 bytes
INFO: seed corpus: files: 7276 min: 30b max: 3726b total: 1893928b rss: 118Mb
#408339	REDUCE cov: 11796 ft: 19470 corp: 804/200Kb lim: 4096 exec/s: 1673 rss: 398Mb L: 283/3513 MS: 1 ShuffleBytes-
#411110	REDUCE cov: 11796 ft: 19470 corp: 804/200Kb lim: 4096 exec/s: 1671 rss: 398Mb L: 287/3513 MS: 3 EraseBytes-ChangeBinInt-CMP- DE: "!\000\000\000"-
#412018	NEW    cov: 11796 ft: 19494 corp: 805/200Kb lim: 4096 exec/s: 1668 rss: 398Mb L: 317/3513 MS: 1 ChangeBinInt-
#424059	REDUCE cov: 11796 ft: 19494 corp: 805/200Kb lim: 4096 exec/s: 1669 rss: 398Mb L: 663/3513 MS: 2 EraseBytes-CopyPart-
#426373	REDUCE cov: 11796 ft: 19494 corp: 805/200Kb lim: 4096 exec/s: 1665 rss: 398Mb L: 119/3513 MS: 1 EraseBytes-
#427323	NEW    cov: 11796 ft: 19495 corp: 806/201Kb lim: 4096 exec/s: 1669 rss: 398Mb L: 317/3513 MS: 3 ChangeASCIIInt-ChangeASCIIInt-ChangeASCIIInt-
#428862	REDUCE cov: 11796 ft: 19495 corp: 806/201Kb lim: 4096 exec/s: 1668 rss: 398Mb L: 103/3513 MS: 4 ChangeByte-ChangeByte-ChangeByte-EraseBytes-
#430265	RELOAD cov: 11796 ft: 19497 corp: 807/201Kb lim: 4096 exec/s: 1667 rss: 398Mb
#435157	REDUCE cov: 11796 ft: 19497 corp: 807/201Kb lim: 4096 exec/s: 1667 rss: 398Mb L: 216/3513 MS: 1 EraseBytes-
#437249	RELOAD cov: 11796 ft: 19498 corp: 808/201Kb lim: 4096 exec/s: 1668 rss: 398Mb
#437275	REDUCE cov: 11796 ft: 19498 corp: 808/201Kb lim: 4096 exec/s: 1668 rss: 398Mb L: 184/3513 MS: 1 EraseBytes-
#437806	REDUCE cov: 11796 ft: 19498 corp: 808/201Kb lim: 4096 exec/s: 1671 rss: 398Mb L: 36/3513 MS: 1 EraseBytes-
#444311	NEW    cov: 11796 ft: 19522 corp: 809/201Kb lim: 4096 exec/s: 1670 rss: 398Mb L: 317/3513 MS: 1 ChangeBit-
#448080	REDUCE cov: 11796 ft: 19522 corp: 809/201Kb lim: 4096 exec/s: 1665 rss: 398Mb L: 41/3513 MS: 4 PersAutoDict-ChangeBit-EraseBytes-CrossOver- DE: "31"-
#457429	REDUCE cov: 11796 ft: 19529 corp: 810/202Kb lim: 4096 exec/s: 1675 rss: 398Mb L: 283/3513 MS: 2 ChangeByte-ChangeBit-
#460316	REDUCE cov: 11796 ft: 19529 corp: 810/202Kb lim: 4096 exec/s: 1673 rss: 398Mb L: 48/3513 MS: 2 EraseBytes-InsertByte-
#462840	RELOAD cov: 11796 ft: 19541 corp: 811/202Kb lim: 4096 exec/s: 1676 rss: 398Mb
#469329	REDUCE cov: 11796 ft: 19541 corp: 811/202Kb lim: 4096 exec/s: 1676 rss: 398Mb L: 116/3513 MS: 1 EraseBytes-
#469591	RELOAD cov: 11796 ft: 19542 corp: 812/202Kb lim: 4096 exec/s: 1671 rss: 398Mb
#473406	REDUCE cov: 11796 ft: 19542 corp: 812/202Kb lim: 4096 exec/s: 1672 rss: 398Mb L: 32/3513 MS: 2 ChangeByte-EraseBytes-
#476214	NEW    cov: 11796 ft: 19545 corp: 813/202Kb lim: 4096 exec/s: 1676 rss: 398Mb L: 263/3513 MS: 2 ChangeBinInt-ChangeBit-
#480893	RELOAD cov: 11797 ft: 19553 corp: 814/203Kb lim: 4096 exec/s: 1675 rss: 398Mb
#482026	NEW    cov: 11797 ft: 19560 corp: 815/203Kb lim: 4096 exec/s: 1673 rss: 398Mb L: 295/3513 MS: 3 PersAutoDict-ChangeByte-ChangeByte- DE: "31"-
#495458	NEW    cov: 11798 ft: 19561 corp: 816/203Kb lim: 4096 exec/s: 1673 rss: 398Mb L: 321/3513 MS: 1 PersAutoDict- DE: "!\000\000\000"-
#504187	RELOAD cov: 11798 ft: 19565 corp: 817/204Kb lim: 4096 exec/s: 1675 rss: 398Mb
